"GIS Join Match Code" "Year" "Metropolitan Statistical Area/Micropolitan Statistical Area Name" "MSACode" "AreaName" "Income share of the top 5%" "Gini Index" "Labor Force Participation Rate" "Unemployment Rate" "COLI (Cost of Living Index)" "Number of households" "Households with Income in the past 12 months below poverty level" "Household with public assistance income" "Total Population" "Per capita income in the past 12 months (in 2009 inflation-adjusted dollars)" "Population 16 Years and Older" "Population between 25 and 64 years old" "Population with a High school diploma" "Population with some college degree or associate's degree" "Population with a Bachelor's degree or higher" "Male" "Female" "White alone (population)" "Black or African American alone (population)" "American Indian and Alaska Native alone (population)" "Asian alone (population)" "Hispanic or Latino (population)" "Married (population)" "Not Married (population)"
"1883" NA 2019 "Aberdeen, SD Micro Area" 10100 "Aberdeen, SD Micro Area" 22.73 44 69 2.3 NA 17849 1691 309 42824 33260 33971 28367 7936 3318 8261 21135 21689 38587 930 1400 1219 1239 18157 15814
"1884" NA 2019 "Aberdeen, WA Micro Area" 10140 "Aberdeen, WA Micro Area" 20.84 45 51.5 7.1 NA 28722 4217 1033 72779 27210 59488 52712 14329 5782 8677 37317 35462 63802 859 3075 1096 7246 29515 29973
"1885" NA 2019 "Abilene, TX Metro Area" 10180 "Abilene, TX Metro Area" 21.25 45 60.3 3.4 NA 60931 8979 838 170669 26011 134483 108067 26540 8253 24878 86183 84486 132039 13961 1162 3148 40232 64904 69579
"1886" NA 2019 "Ada, OK Micro Area" 10220 "Ada, OK Micro Area" 20.3 45 60.2 4.4 NA 14278 2224 495 38355 26187 30333 24897 6892 1388 7029 18832 19523 26364 972 4886 298 2058 14818 15515
"1887" NA 2019 "Adrian, MI Micro Area" 10300 "Adrian, MI Micro Area" 19.2 42 58.6 4.7 NA 38345 4141 672 98381 27850 80011 68399 21528 6236 14371 49699 48682 91576 2471 475 305 7842 40606 39405
"1888" NA 2019 "Aguadilla-Isabela, PR Metro Area" 10380 "Aguadilla-Isabela, PR Metro Area" 24.92 54 39.2 18.4 NA 109248 58238 6782 301107 9998 251282 215327 55346 20026 44501 146432 154675 223537 8164 174 320 291542 104157 147125
"1889" NA 2019 "Akron, OH Metro Area" 10420 "Akron, OH Metro Area" 22.43 47 64.3 5.4 NA 286543 37806 12617 703845 32786 577303 485570 137960 40336 153963 342350 361495 572549 85475 1222 21337 14597 272100 305203
"1890" NA 2019 "Alamogordo, NM Micro Area" 10460 "Alamogordo, NM Micro Area" 23.55 47 53.5 7.6 NA 23634 4792 847 66137 23170 52420 43579 9155 4458 7616 34214 31923 52309 2343 4503 858 25315 25048 27372
"1891" NA 2019 "Albany, GA Metro Area" 10500 "Albany, GA Metro Area" 21.47 48 58.4 10.6 NA 55714 12333 913 148436 23715 116434 97094 24474 9291 19449 70206 78230 62530 79499 319 2023 4140 47760 68674
"1892" NA 2019 "Albany-Lebanon, OR Metro Area" 10540 "Albany-Lebanon, OR Metro Area" 19.17 42 58.7 6.6 NA 47762 6066 1812 125048 27345 100165 86850 20415 8644 16746 61638 63410 112036 627 1192 1344 11393 52468 47697
